name,first_name,last_name,original_title,department,area,university,email,rank
Amoray Riggs-Cragun,Amoray,Riggs-Cragun,Assistant Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Assistant
Haresh Sapra,Haresh,Sapra,Charles T. Horngren Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Douglas J. Skinner,Douglas,Skinner,Sidney Davidson Distinguished Service Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Abbie J. Smith,Abbie,Smith,Boris and Irene Stern Distinguished Service Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Christopher Stewart,Christopher,Stewart,Associate Professor of Accounting and FMC Faculty Scholar,Accounting,Accounting,University of Chicago (Booth School of Business),,Associate
Rimmy Tomy,Rimmy,Tomy,Associate Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Associate
Oktay Urcan,Oktay,Urcan,Visiting Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Visiting
Ira S. Weiss,Ira,Weiss,Clinical Professor of Accounting and Entrepreneurship,"Accounting, Entrepreneurship","Accounting, Entrepreneurship",University of Chicago (Booth School of Business),,Clinical Professor
Anthony Welsch,Anthony,Welsch,Assistant Professor of Accounting and Kathryn and Grant Swick Faculty Scholar,Accounting,Accounting,University of Chicago (Booth School of Business),,Assistant
Baris Ata,Baris,Ata,Sigmund E. Edelstone Distinguished Service Professor of Operations Management and Applied AI,"Applied AI, Operations Management","Information Systems, Production and Operations",University of Chicago (Booth School of Business),,Professor
Kawin Ethayarajh,Kawin,Ethayarajh,Assistant Professor of Applied AI and Kathryn and Grant Swick Faculty Scholar,Applied AI,Information Systems,University of Chicago (Booth School of Business),,Assistant
Carlos Ganoza,Carlos,Ganoza,Adjunct Associate of Applied Artificial Intelligence,Applied AI,Information Systems,University of Chicago (Booth School of Business),,Adjunct
Alex Imas,Alex,Imas,"Roger L. and Rachel M. Goetz Professor of Behavioral Science, Economics and Applied AI and Vasiliou Faculty Scholar","Applied AI, Behavioral Science","Information Systems, Management Organizations (Organizational Behavior)",University of Chicago (Booth School of Business),,Professor
Tengyuan Liang,Tengyuan,Liang,"JP Gan Professor of Econometrics and Statistics, and Applied AI in the Wallman Society of Fellows","Applied AI, Econometrics and Statistics","Information Systems, Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Professor
Sanjog Misra,Sanjog,Misra,Charles H. Kellstadt Distinguished Service Professor of Marketing and Applied AI,"Applied AI, Marketing","Information Systems, Marketing",University of Chicago (Booth School of Business),,Professor
Suproteem Sarkar,Suproteem,Sarkar,Assistant Professor of Finance and Applied AI and Biehler Junior Faculty Fellow,"Applied AI, Finance","Information Systems, Finance",University of Chicago (Booth School of Business),,Assistant
John Burrows,John,Burrows,Senior Lecturer,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Senior Lecturer
Shereen Chaudhry,Shereen,Chaudhry,Associate Professor of Behavioral Science and Neubauer Family Faculty Fellow,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Associate
Joshua Dean,Joshua,Dean,Associate Professor of Behavioral Science and Economics and Faculty Research & Cumulative Initiatives Faculty Fellow,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Associate
Nicholas Epley,Nicholas,Epley,John Templeton Keller Distinguished Service Professor of Behavioral Science and Neubauer Family Faculty Fellow,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
Ayelet Fishbach,Ayelet,Fishbach,Eric J. Gleacher Distinguished Service Professor of Behavioral Science and Marketing,"Behavioral Science, Marketing","Management Organizations (Organizational Behavior), Marketing",University of Chicago (Booth School of Business),,Professor
Linda E. Ginzel,Linda,Ginzel,Clinical Professor of Managerial Psychology,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Clinical Professor
Reid Hastie,Reid,Hastie,Ralph and Dorothy Keller Distinguished Service Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
Joshua Conrad Jackson,Joshua,Jackson,Neubauer Family Assistant Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Assistant
Erika Kirgios,Erika,Kirgios,Assistant Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Assistant
Alex Koch,Alex,Koch,Associate Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Associate
Emma Levine,Emma,Levine,Charles M. Harper Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
Ann L. McGill,Ann,McGill,"Sears Roebuck Professor of General Management, Marketing and Behavioral Science","Behavioral Science, Marketing","Management Organizations (Organizational Behavior), Marketing",University of Chicago (Booth School of Business),,Professor
A. Nussbaum,A.,Nussbaum,Adjunct Associate Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Adjunct
Ed O'Brien,Ed,O'Brien,Associate Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Associate
Devin G. Pope,Devin,Pope,Steven G. Rothmeier Professor of Behavioral Science and Economics and Robert King Steel Faculty Fellow,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
Jane L. Risen,Jane,Risen,H.G.B. Alexander Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
John Paul Rollert,John,Rollert,Adjunct Associate Professor of Behavioral Science,"Behavioral Science, Strategy and Leadership","Management Organizations (Organizational Behavior), Strategy",University of Chicago (Booth School of Business),,Adjunct
Thomas Talhelm,Thomas,Talhelm,Associate Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Associate
Alexander Todorov,Alexander,Todorov,"Walter David ""Bud"" Fackler Distinguished Service Professor of Behavioral Science and Richard Rosett Faculty Fellow",Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
Hal Weitzman,Hal,Weitzman,Adjunct Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Adjunct
Rebecca White,Rebecca,White,Adjunct Associate Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Adjunct
Bernd Wittenbrink,Bernd,Wittenbrink,Thomas W. Sidlik Professor of Behavioral Science in the Wallman Society of Fellows,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
George Wu,George,Wu,John P. and Lillian A. Gould Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Professor
Elena Zinchenko,Elena,Zinchenko,Adjunct Associate Professor of Behavioral Science,Behavioral Science,Management Organizations (Organizational Behavior),University of Chicago (Booth School of Business),,Adjunct
Bryon Aragam,Bryon,Aragam,Associate Professor of Econometrics and Statistics and Robert H. Topel Faculty Scholar,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Associate
Nabarun Deb,Nabarun,Deb,Assistant Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Assistant
Christian B. Hansen,Christian,Hansen,Wallace W. Booth Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Professor
Tetsuya Kaji,Tetsuya,Kaji,Associate Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Associate
Sid Kankanala,Sid,Kankanala,Assistant Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Assistant
Lara Kattan,Lara,Kattan,Clinical Assistant Professor of Operations Management,"Econometrics and Statistics, Operations Management","Business Analytics, Decision Science and Stats, Production and Operations",University of Chicago (Booth School of Business),,Clinical Professor
Shuangning Li,Shuangning,Li,Assistant Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Assistant
David K.A. Mordecai,David,Mordecai,Adjunct Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Adjunct
Evan Munro,Evan,Munro,Assistant Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Assistant
Nicholas Polson,Nicholas,Polson,"Robert Law, Jr. Professor of Econometrics and Statistics",Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Professor
Veronika Rockova,Veronika,Rockova,Bruce Lindsay Professor of Econometrics and Statistics in the Wallman Society of Fellows,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Professor
Jeffrey R. Russell,Jeffrey,Russell,Alper Family Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Professor
Ekaterina (Katja) Smetanina,Ekaterina,Smetanina,Assistant Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Assistant
Panagiotis Toulis (Panos),Panagiotis,(Panos),"Associate Professor of Econometrics and Statistics, and John E. Jeuck Faculty Fellow",Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Associate
Dacheng Xiu,Dacheng,Xiu,Joseph Sondheimer Professor of Econometrics and Statistics,Econometrics and Statistics,"Business Analytics, Decision Science and Stats",University of Chicago (Booth School of Business),,Professor
Mark Agnew,Mark,Agnew,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Michael Alter,Michael,Alter,Rattan L. Khosa Clinical Professorship of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Clinical Professor
Robert Altman,Robert,Altman,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Jeremie Bacon,Jeremie,Bacon,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Larry Berlin,Larry,Berlin,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Raghu Betina,Raghu,Betina,Clinical Associate Professor of Operations Management and Entrepreneurship,"Entrepreneurship, Operations Management","Entrepreneurship, Production and Operations",University of Chicago (Booth School of Business),,Clinical Professor
Jason R. Blumberg,Jason,Blumberg,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Ale Breuer,Ale,Breuer,Clinical Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Clinical Professor
Gregory D. Bunch,Gregory,Bunch,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Keith Burns,Keith,Burns,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Bob Casey,Bob,Casey,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Brian Coe,Brian,Coe,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Emanuele Colonnelli,Emanuele,Colonnelli,Joseph L. Gidwitz Professor of Finance and Entrepreneurship,"Entrepreneurship, Finance","Entrepreneurship, Finance",University of Chicago (Booth School of Business),,Professor
Keith Crandell,Keith,Crandell,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Dan Cremons,Dan,Cremons,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Michael Curry,Michael,Curry,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Waverly Deutsch,Waverly,Deutsch,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Thomas Elnick,Thomas,Elnick,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Jim Fasano,Jim,Fasano,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Robert H. Gertner,Robert,Gertner,Frank P. and Marianne R. Diassi Distinguished Service Professor of Economics and Strategy and John Edwardson Faculty Director Rustandy Center for Social Sector Innovation,"Entrepreneurship, Microeconomics, Strategy and Leadership","Entrepreneurship, Business Econ and Policy, Strategy",University of Chicago (Booth School of Business),,Professor
Will Gossin,Will,Gossin,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Michael Gray,Michael,Gray,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Christina Hachikian,Christina,Hachikian,Adjunct Associate Professor of Strategic Management,"Entrepreneurship, Strategy and Leadership","Entrepreneurship, Strategy",University of Chicago (Booth School of Business),,Adjunct
Melissa Harris,Melissa,Harris,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Jason M. Heltzer,Jason,Heltzer,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Todd Henderson,Todd,Henderson,Michael J. Marks Professor of Law at the University of Chicago Law School,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Professor
Stefan Hepp,Stefan,Hepp,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
James Janega,James,Janega,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Steven Neil Kaplan,Steven,Kaplan,Neubauer Family Distinguished Service Professor of Entrepreneurship and Finance and Kessenich E.P. Faculty Director at the Polsky Center for Entrepreneurship and Innovation,"Entrepreneurship, Finance","Entrepreneurship, Finance",University of Chicago (Booth School of Business),,Professor
Catherine Littell,Catherine,Littell,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Starr Marcello,Starr,Marcello,Deputy Dean for MBA and Masters Programs; Special Advisor to the Provost; Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Samir Mayekar,Samir,Mayekar,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Christopher McGowan,Christopher,McGowan,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Scott F. Meadow,Scott,Meadow,Kaplan McCormack Family Clinical Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Clinical Professor
Scott Metcalf,Scott,Metcalf,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Arthur Middlebrooks,Arthur,Middlebrooks,"James M. Kilts, Jr. Clinical Professor of Marketing","Entrepreneurship, Marketing","Entrepreneurship, Marketing",University of Chicago (Booth School of Business),,Clinical Professor
Brian O'Connor,Brian,O'Connor,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
CJ Przybyl,CJ,Przybyl,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Alyssa Rapp,Alyssa,Rapp,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Stephen Ritchie,Stephen,Ritchie,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
James E. Schrager,James,Schrager,Clinical Professor of Entrepreneurship and Strategic Management,"Entrepreneurship, Strategy and Leadership","Entrepreneurship, Strategy",University of Chicago (Booth School of Business),,Clinical Professor
Jamie Shah,Jamie,Shah,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Marco Susani,Marco,Susani,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Mark Tebbe,Mark,Tebbe,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Anthony Walker,Anthony,Walker,Adjunct Assistant Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Robert C. Wolcott,Robert,Wolcott,Adjunct Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Brian Wolfe,Brian,Wolfe,Adjunct Associate Professor of Entrepreneurship,Entrepreneurship,Entrepreneurship,University of Chicago (Booth School of Business),,Adjunct
Luigi Zingales,Luigi,Zingales,Robert C. McCormack Distinguished Service Professor of Entrepreneurship and Finance,"Entrepreneurship, Finance","Entrepreneurship, Finance",University of Chicago (Booth School of Business),,Professor
Eric Zwick,Eric,Zwick,Joel F. Gemunder Professor of Economics and Finance and Charles E. Merrill Faculty Scholar,"Entrepreneurship, Finance, Microeconomics","Entrepreneurship, Finance, Business Econ and Policy",University of Chicago (Booth School of Business),,Professor
Carlin Adrianopoli,Carlin,Adrianopoli,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Gregor Andrade,Gregor,Andrade,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Francesca Bastianello,Francesca,Bastianello,Assistant Professor of Finance and Fama Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Assistant
Brian Boonstra,Brian,Boonstra,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Laura M. Born,Laura,Born,Adjunct Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Leland Bybee,Leland,Bybee,Assistant Professor of Finance and Fama Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Assistant
William Cassidy,William,Cassidy,Visiting Assistant Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Visiting
Ben Chabot,Ben,Chabot,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
George M. Constantinides,George,Constantinides,Leo Melamed Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Ian Dew-Becker,Ian,Dew-Becker,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Douglas W. Diamond,Douglas,Diamond,Merton H. Miller Distinguished Service Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Eugene F. Fama,Eugene,Fama,Robert R. McCormick Distinguished Service Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Vito D. Gala,Vito,Gala,Adjunct Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Niels Gormsen,Niels,Gormsen,Neubauer Family Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Associate
Lars Hansen,Lars,Hansen,"David Rockefeller Distinguished Service Professor The University of Chicago Departments of Economics, Statistics and the Booth School of Business","Finance, Macroeconomics","Finance, Business Econ and Policy",University of Chicago (Booth School of Business),,Professor
John C. Heaton,John,Heaton,Myron S. Scholes Distinguished Service Professor of Finance and Anthony Pritzker Family Foundation - Family Office Initiative Director,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Stephen Hessler,Stephen,Hessler,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Galina Kalcheva,Galina,Kalcheva,Adjunct Assistant Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Anil Kashyap,Anil,Kashyap,Stevens Distinguished Service Professor of Economics and Finance,"Finance, Macroeconomics","Finance, Business Econ and Policy",University of Chicago (Booth School of Business),,Professor
Ralph S.J. Koijen,Ralph,Koijen,AQR Capital Management Distinguished Service Professor of Finance and Applied AI and Fama Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Yueran Ma,Yueran,Ma,Carhart Family Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Ravi Mehta,Ravi,Mehta,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Mark L Mitchell,Mark,Mitchell,Adjunct Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Stefan Nagel,Stefan,Nagel,Fama Family Distinguished Service Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Scott Nelson,Scott,Nelson,Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Associate
Pascal Noel,Pascal,Noel,Singh Family Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Joseph L. Pagliari,Joseph,Pagliari,John Mazarakis and Chicago Atlantic Clinical Professor of Real Estate,Finance,Finance,University of Chicago (Booth School of Business),,Clinical Professor
Lubos Pastor,Lubos,Pastor,Charles P. McQuaid Distinguished Service Professor of Finance and Robert King Steel Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Joshua Pierce,Joshua,Pierce,Visiting Professor of Banking,Finance,Finance,University of Chicago (Booth School of Business),,Visiting
Raghuram G. Rajan,Raghuram,Rajan,Katherine Dusak Miller Distinguished Service Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Robert Schriesheim,Robert,Schriesheim,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Julia Selgrad,Julia,Selgrad,Assistant Professor of Finance and Liew Family Junior Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Assistant
Taisiya Sikorskaya,Taisiya,Sikorskaya,Assistant Professor of Finance and Fama Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Assistant
Per Stromberg,Per,Stromberg,Visiting Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Visiting
Amir Sufi,Amir,Sufi,"Bruce Lindsay Distinguished Service Professor of Economics, Finance and Public Policy",Finance,Finance,University of Chicago (Booth School of Business),,Professor
Andria van der Merwe,Andria,Merwe,Adjunct Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Adjunct
Quentin Vandeweyer,Quentin,Vandeweyer,Associate Professor of Finance and Fama Faculty Fellow,Finance,Finance,University of Chicago (Booth School of Business),,Associate
Kaushik Vasudevan,Kaushik,Vasudevan,Visiting Assistant Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Visiting
Pietro Veronesi,Pietro,Veronesi,Deputy Dean for Faculty and Sherman and Vivian Chao Distinguished Service Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Robert W. Vishny,Robert,Vishny,Charles R. Walgreen Distinguished Service Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Professor
Hongjun Yan,Hongjun,Yan,Visiting Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Visiting
Constantine Yannelis,Constantine,Yannelis,Visiting Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Visiting
Anthony Lee Zhang,Anthony,Zhang,Associate Professor of Finance,Finance,Finance,University of Chicago (Booth School of Business),,Associate
Rodrigo Adao,Rodrigo,Adao,Associate Professor of Economics,Macroeconomics,Business Econ and Policy,University of Chicago (Booth School of Business),,Associate
Brian Barry,Brian,Barry,Clinical Professor of Economics,Macroeconomics,Business Econ and Policy,University of Chicago (Booth School of Business),,Clinical Professor
