name,first_name,last_name,original_title,department,area,university,email,rank
Justin Berg,Justin,Berg,Associate Professor of Management and OrganizationsBuzz and Judy Newton Faculty FellowManagement and Organizations Faculty Doctoral Coordinatorview additional titles,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Associate
Norman Bishara,Norman,Bishara,Professor of Business Law and Ethics,Business Law,Business Law,University of Michigan (Ross School of Business),,Professor
Erika Block,Erika,Block,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Josh Botkin,Josh,Botkin,Lecturer of Entrepreneurial StudiesEntrepreneur-in-Residenceview additional titles,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Lecturer
John Branch,John,Branch,"Clinical Associate Professor of Business AdministrationAssociate Director, Center for Russian, East European, & Eurasian StudiesWilliam Davidson Institute Research Fellowview additional titles",,,University of Michigan (Ross School of Business),,Clinical Professor
Thomas Buchmueller,Thomas,Buchmueller,Waldo O. Hildebrand Professor of Risk Management and InsuranceProfessor of Business Economics and Public PolicyArea Chair of Business Economics and Public Policyview additional titles,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Professor
Katherine Burson,Katherine,Burson,Associate Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Associate
David Butz,David,Butz,Lecturer of Business Administration,,,University of Michigan (Ross School of Business),,Lecturer
Tiffany Caldwell,Tiffany,Caldwell,Lecturer of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
David Canter,David,Canter,Lecturer of Business Administration,,,University of Michigan (Ross School of Business),,Lecturer
Jonathan Carmel,Jonathan,Carmel,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
E. Follett Carter,E.,Carter,Lecturer of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Lecturer
Joshua Cascade,Joshua,Cascade,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
Oguzhan Celebi,Oguzhan,Celebi,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Sergio Chayet,Sergio,Chayet,Adjunct Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Adjunct
Edward Cho,Edward,Cho,Lecturer of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
Jen Choi,Jen,Choi,Assistant Professor of AccountingPaton & Drebin Faculty Fellowview additional titles,Accounting,Accounting,University of Michigan (Ross School of Business),,Assistant
Paul Clyde,Paul,Clyde,Clinical Professor of Business Economics and Public PolicyMovses and Maija Kaldjian Collegiate Lecturer of Business Economics and Public Policyview additional titles,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Clinical Professor
Marcus Collins,Marcus,Collins,Clinical Assistant Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Clinical Professor
Brian Connolly,Brian,Connolly,Assistant Professor of Business LawNBD Bancorp Assistant Professor of Business Administrationview additional titles,Business Law,Business Law,University of Michigan (Ross School of Business),,Assistant
Maria Coolican,Maria,Coolican,"Adjunct Clinical Associate Professor of Business AdministrationClinical Associate Professor, Marsal Family School of Educationview additional titles",,,University of Michigan (Ross School of Business),,Adjunct
Lilia Cortina,Lilia,Cortina,"University Diversity and Social Transformation Professor of Psychology and Women's & Gender StudiesProfessor of Management & Organizations, Ross School of Business (courtesy)view additional titles",Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Felipe Csaszar,Felipe,Csaszar,Alexander M. Nick ProfessorArea Chair of Strategyview additional titles,Strategy,Strategy,University of Michigan (Ross School of Business),,Professor
Jerry Davis,Jerry,Davis,Gilbert and Ruth Whitaker Professor of Business AdministrationProfessor of Management and Organizationsview additional titles,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Emmanuel De George,Emmanuel,George,VISITING ASST PROFESSOR,,,University of Michigan (Ross School of Business),,Visiting
Jeff DeGraff,Jeff,DeGraff,Clinical Professor of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Clinical Professor
William De Herder,William,Herder,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Rebecca De Simone,Rebecca,Simone,Assistant Professor of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Assistant
Jim Desimpelare,Jim,Desimpelare,Teaching Professor of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Teaching Professor
Emily Drogt,Emily,Drogt,Lecturer of AccountingClyne Crawford Teaching Fellowview additional titles,Accounting,Accounting,University of Michigan (Ross School of Business),,Lecturer
Izak Duenyas,Izak,Duenyas,"Area Chair of Technology and OperationsHerrick Professor of BusinessProfessor of Technology and OperationsProfessor of Industrial and Operations Engineering, College of Engineeringview additional titles",Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Melina Duggal,Melina,Duggal,Lecturer of Business Administration,,,University of Michigan (Ross School of Business),,Lecturer
Cristina Eckhoff Onofre,Cristina,Onofre,Lecturer of Business Administration,,,University of Michigan (Ross School of Business),,Lecturer
Hila Etzion,Hila,Etzion,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Fred Feinberg,Fred,Feinberg,"Joseph Handleman Professor of MarketingProfessor of Statistics, LSAview additional titles",Marketing,Marketing,University of Michigan (Ross School of Business),,Professor
Tammy Feldman,Tammy,Feldman,Teaching Professor of Business Economics and Public Policy,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Teaching Professor
Brian Flanagan,Brian,Flanagan,Lecturer of Management & Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Lecturer
Jessica Fong,Jessica,Fong,Assistant Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Assistant
Will Foss,Will,Foss,Lecturer of Entrepreneurial Studies,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Lecturer
Justin Frake,Justin,Frake,Assistant Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Assistant
Sophia Galifianakis,Sophia,Galifianakis,Lecturer of Business Communication,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Lindsey Gallo,Lindsey,Gallo,"Coopers and Lybrand, Norman E. Auerbach Assistant Professor of Accounting",Accounting,Accounting,University of Michigan (Ross School of Business),,Assistant
Cheng Gao,Cheng,Gao,Assistant Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Assistant
Mario Giglio III,Mario,III,Lecturer of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Lecturer
Erik Gordon,Erik,Gordon,Clinical Assistant Professor of Entrepreneurial StudiesArea Chair of Entrepreneurial Studiesview additional titles,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Clinical Professor
Lindy Greer,Lindy,Greer,Gerald and Esther Carey Professor of Business AdministrationProfessor of Management and Organizationsview additional titles,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Tom Gritter,Tom,Gritter,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
Jerome Gronniger,Jerome,Gronniger,Lecturer of Business Economics and Public Policy,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Lecturer
Vinay Gupta,Vinay,Gupta,Lecturer of Business Administration,,,University of Michigan (Ross School of Business),,Lecturer
Andreas Hagemann,Andreas,Hagemann,Associate Professor of Business Economics and Public Policy,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Associate
Jason Hall,Jason,Hall,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
Savannah Hall,Savannah,Hall,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Dae Woong (David) Ham,Dae,Ham,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Gerry Hargrove,Gerry,Hargrove,Lecturer of Business Law,Business Law,Business Law,University of Michigan (Ross School of Business),,Lecturer
Stuart Hart,Stuart,Hart,Lecturer of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
David Hawkins,David,Hawkins,Lecturer of Business Communication,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Morela Hernandez,Morela,Hernandez,"Ligia Ramirez de Reynolds Collegiate Professor of Public Policy, Gerald R. Ford School of Public PolicyProfessor of Management and Organizations (courtesy), Ross School of Businessview additional titles",Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Professor
David Hess,David,Hess,Area Chair of Business LawEverett E Berg Professor of Business AdministrationProfessor of Business Lawview additional titles,Business Law,Business Law,University of Michigan (Ross School of Business),,Professor
David Hiemstra,David,Hiemstra,Intermittent Lecturer in Business,,,University of Michigan (Ross School of Business),,Lecturer
James Hines Jr,James,Jr,"Professor of Business EconomicsProfessor of Public Policy Studies, SPPSProfessor of Economics, LSAResearch Director, Office of Tax Policy Researchview additional titles",Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Professor
Andy Hoffman,Andy,Hoffman,"Professor of Management and OrganizationsProfessor of Environment and Sustainability, SEASHolcim (US), Inc. Professor of Sustainable Enterpriseview additional titles",Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Ali Hojjat,Ali,Hojjat,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
David Horowitz,David,Horowitz,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
Justin T. Huang,Justin,Huang,Lecturer of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Lecturer
Eun Bit Hwang,Eun,Hwang,Lecturer of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Lecturer
Raffi Indjejikian,Raffi,Indjejikian,Carlton H. Griffin-Deloitte & Touche LLP Collegiate Professor of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Professor
Stefanus Jasin,Stefanus,Jasin,Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Michael Jensen,Michael,Jensen,Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Professor
Mike Johnson,Mike,Johnson,Lecturer of Entrepreneurial StudiesEntrepreneur-in-Residenceview additional titles,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Lecturer
Aparna Joshi,Aparna,Joshi,Professor of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Itay Kama,Itay,Kama,Clinical Assistant Professor of AccountingClyne Crawford Teaching Fellowview additional titles,Accounting,Accounting,University of Michigan (Ross School of Business),,Clinical Professor
Roman Kapuscinski,Roman,Kapuscinski,Senior Associate Dean for Faculty and ResearchJohn Psarouthakis Research Professor of Manufacturing ManagementProfessor of Technology and Operationsview additional titles,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Aneel Karnani,Aneel,Karnani,Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Professor
Gautam Kaul,Gautam,Kaul,Professor of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Professor
Samantha Keppler,Samantha,Keppler,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Brad Killaly,Brad,Killaly,Clinical Associate Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Clinical Professor
Edward Kim,Edward,Kim,Assistant Professor of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Assistant
Jeffrey Klein,Jeffrey,Klein,Lecturer of Business Law,Business Law,Business Law,University of Michigan (Ross School of Business),,Lecturer
Angela Kohlenberg,Angela,Kohlenberg,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Murat Koksalan,Murat,Koksalan,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Shirli Kopelman,Shirli,Kopelman,Clinical Professor of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Clinical Professor
Nancy Kotzian,Nancy,Kotzian,Lecturer of Business Communication,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Jeremy Kress,Jeremy,Kress,Associate Professor of Business LawMichael R. and Mary Kay Hallman Faculty Fellowview additional titles,Business Law,Business Law,University of Michigan (Ross School of Business),,Associate
Aradhna Krishna,Aradhna,Krishna,Dwight F. Benton Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Professor
M.S. Krishnan,M.S.,Krishnan,Accenture Professor of Computer Information SystemsProfessor of Technology & Operationsview additional titles,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Debra Krolick,Debra,Krolick,Lecturer of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Lecturer
Ethan Kross,Ethan,Kross,"Professor of Management & Organizations, Ross School of BusinessDirector, Self-Control and Emotion LaboratoryChair, Social Psychology AreaProfessor of Psychology, University of MichiganFaculty Lead of Innovation, Eisenberg Family Depression Centerview additional titles",Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Sanjeev Kumar,Sanjeev,Kumar,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Soojin Kwon,Soojin,Kwon,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Curtis LaButte,Curtis,LaButte,LEO Intermittent Lecturer,,,University of Michigan (Ross School of Business),,Lecturer
Francine Lafontaine,Francine,Lafontaine,"William Davidson Professor of Business Economics and Public PolicyProfessor of Economics, LSAview additional titles",Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Professor
Cristi Landy,Cristi,Landy,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Gregg Latterman,Gregg,Latterman,Executive Director of the Zell Lurie InstituteClinical Assistant Professor of Entrepreneurial Studiesview additional titles,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Clinical Professor
Kevin Lee,Kevin,Lee,Assistant Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Assistant
Julia Lee Cunningham,Julia,Cunningham,Associate Professor of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Associate
Reuven Lehavy,Reuven,Lehavy,Victor L. Bernard - Price Waterhouse Coopers LLP Collegiate Professor of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Professor
Qin Lei,Qin,Lei,Adjunct Assistant Professor of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Adjunct
Stephen Leider,Stephen,Leider,Dale L. Dykema Professor of Business AdministrationProfessor of Technology and Operationsview additional titles,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Chantel Lenard,Chantel,Lenard,Lecturer of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Lecturer
Greg Lewis,Greg,Lewis,Lecturer of Business Administration,,,University of Michigan (Ross School of Business),,Lecturer
Jun Li,Jun,Li,Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Ted London,Ted,London,"Ford Motor Company Clinical Professor of Business AdministrationSenior Research Fellow, William Davidson Instituteview additional titles",,,University of Michigan (Ross School of Business),,Clinical Professor
Emma Lozon,Emma,Lozon,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Tom Lyon,Tom,Lyon,"Dow Professor of Sustainable Science, Technology and CommerceProfessor of Business Economics and Public Policyview additional titles",Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Professor
Victor Lyonnet,Victor,Lyonnet,Assistant Professor of FinanceMichael R. and Mary Kay Hallman Fellowview additional titles,Finance,Finance,University of Michigan (Ross School of Business),,Assistant
Puneet Manchanda,Puneet,Manchanda,Isadore and Leon Winkelman Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Professor
Scott Masten,Scott,Masten,Professor of Business Economics and Public Policy,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Professor
Sharon Matusik,Sharon,Matusik,Edward J. Frey Dean of Business,,,University of Michigan (Ross School of Business),,Dean
Dave Mayer,Dave,Mayer,John H. Mitchell Professor in Business EthicsProfessor of Management and OrganizationsChair of Management & Organizationsview additional titles,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Mihir Mehta,Mihir,Mehta,"Coopers & Lybrand, Norman E. Auerbach Assistant Professor of Accounting",Accounting,Accounting,University of Michigan (Ross School of Business),,Assistant
Nigel Melville,Nigel,Melville,Associate Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Associate
David Mendez Emilien,David,Emilien,Associate Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Associate
Rashmi Menon,Rashmi,Menon,Lecturer of Entrepreneurial Studies,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Lecturer
Michael Metzger,Michael,Metzger,Adjunct Assistant Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Adjunct
Len Middleton,Len,Middleton,Lecturer of Strategy and Entrepreneurship,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
Clay Miller,Clay,Miller,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
Greg Miller,Greg,Miller,Ernst & Young Professor of AccountingClyne Crawford Teaching FellowFaculty Director of Paton Accounting Centerview additional titles,Accounting,Accounting,University of Michigan (Ross School of Business),,Professor
Sarah Miller,Sarah,Miller,Associate Professor of Business Economics and Public PolicyBuzz and Judy Newton Faculty Fellowview additional titles,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Associate
Shane Miller,Shane,Miller,Assistant Professor of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Assistant
Susan Miller,Susan,Miller,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Kaveri Misra,Kaveri,Misra,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Mark Mizruchi,Mark,Mizruchi,"Professor of Management and OrganizationsProfessor of Sociology, LSAview additional titles",Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Ruslan Momot,Ruslan,Momot,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Heather Moore,Heather,Moore,LEO Adjunct Lecturer,,,University of Michigan (Ross School of Business),,Adjunct
Andrea Morrow,Andrea,Morrow,Lecturer of Business CommunicationDirector of Writing Programsview additional titles,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
John Morrow,John,Morrow,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Mohamed Mostagir,Mohamed,Mostagir,Associate Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Associate
Chris Mueller,Chris,Mueller,Lecturer of Entrepreneurial Studies,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Lecturer
Dana Muir,Dana,Muir,Robert L. Dixon Collegiate Professor of BusinessArthur F. Thurnau Professor of Business Lawview additional titles,Business Law,Business Law,University of Michigan (Ross School of Business),,Professor
Valerie Myers,Valerie,Myers,Lecturer of Management and Organization,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Lecturer
Venky Nagar,Venky,Nagar,KPMG Professor of AccountingTeitelbaum Research Scholarview additional titles,Accounting,Accounting,University of Michigan (Ross School of Business),,Professor
Anuradha Nagarajan,Anuradha,Nagarajan,Teaching Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Teaching Professor
M.P. Narayanan,M.P.,Narayanan,Robert Morrison Hoffer Professor of Business AdministrationProfessor of Financeview additional titles,Finance,Finance,University of Michigan (Ross School of Business),,Professor
Christina Nechiporchik,Christina,Nechiporchik,Lecturer of Business Law,Business Law,Business Law,University of Michigan (Ross School of Business),,Lecturer
Pedram Nezafat,Pedram,Nezafat,Lecturer of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Lecturer
Paul Nucci,Paul,Nucci,Lecturer of Business Communications,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Lecturer
Anant Nyshadham,Anant,Nyshadham,Associate Professor for Business Economics and Public PolicyBuzz and Judy Newton Faculty Fellowview additional titles,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Associate
Rodger Olson,Rodger,Olson,Lecturer of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Lecturer
Jim Omartian,Jim,Omartian,Assistant Professor of AccountingClyne Crawford Teaching FellowErnst and Young Faculty Fellowview additional titles,Accounting,Accounting,University of Michigan (Ross School of Business),,Assistant
A. Yesim Orhun,A.,Orhun,Professor of MarketingMichael R. and Mary Kay Hallman FellowMarketing Faculty Doctoral Coordinatorview additional titles,Marketing,Marketing,University of Michigan (Ross School of Business),,Professor
Dave Ostreicher,Dave,Ostreicher,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Dennis Oswald,Dennis,Oswald,Lecturer of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Lecturer
Lynda Oswald,Lynda,Oswald,Louis and Myrtle Moskowitz Research Professor of Business and Law,Business Law,Business Law,University of Michigan (Ross School of Business),,Professor
Scott Page,Scott,Page,"John Seely Brown Distinguished University Professor of Complexity, Social Science, and ManagementWilliamson Family Professor of Business AdministrationProfessor of Management and OrganizationsProfessor of Political Science, Professor of Complex Systems, Professor of Economics, LSAview additional titles",Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Vijay Pandiarajan,Vijay,Pandiarajan,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Paolo Pasquariello,Paolo,Pasquariello,Professor of FinanceJohn C. and Sally S. Morley Professor of Business Adminstrationview additional titles,Finance,Finance,University of Michigan (Ross School of Business),,Professor
Naimish Patel,Naimish,Patel,Lecturer of Entrepreneurial Studies,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Lecturer
Robert Patterson,Robert,Patterson,Lecturer of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Lecturer
Lisa Pawlik,Lisa,Pawlik,Teaching Professor of Business CommunicationsArea Chair of Business Communicationsview additional titles,Business Communication,Business Communication,University of Michigan (Ross School of Business),,Teaching Professor
Joan Penner-Hahn,Joan,Penner-Hahn,Lecturer of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
Kramer Quist,Kramer,Quist,Lecturer of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
Uday Rajan,Uday,Rajan,David B. Hermelin Professor of Business AdministrationProfessor of FinanceFinance Faculty Doctoral Coordinatorview additional titles,Finance,Finance,University of Michigan (Ross School of Business),,Professor
Venkatram Ramaswamy,Venkatram,Ramaswamy,Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Professor
Nirupama Rao,Nirupama,Rao,Assistant Professor of Business Economics and Public Policy,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Assistant
Scott Rick,Scott,Rick,Associate Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Associate
Christopher Rider,Christopher,Rider,Thomas C. Kinnear ProfessorAssociate Professor of Entrepreneurial Studiesview additional titles,Entrepreneurial Studies,Entrepreneurship,University of Michigan (Ross School of Business),,Associate
Eric Ringle,Eric,Ringle,Lecturer of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Lecturer
Lori Rogala,Lori,Rogala,Thomas C. Jones Associate Dean for Undergraduate EducationTeaching Professor of Business Lawview additional titles,Business Law,Business Law,University of Michigan (Ross School of Business),,Teaching Professor
Ben Rosa,Ben,Rosa,Assistant Professor of Business Economics and Public Policy,Business Economics and Public Policy,Business Econ and Policy,University of Michigan (Ross School of Business),,Assistant
Debjit Roy,Debjit,Roy,Adjunct Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Adjunct
