name,first_name,last_name,original_title,department,area,university,email,rank
Yossi Feinberg,Yossi,Feinberg,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Robert J. Flanagan,Robert,Flanagan,"Professor Emeritus,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
Francis J. Flynn,Francis,Flynn,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Jaclyn Foroughi,Jaclyn,Foroughi,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
George Foster,George,Foster,"Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Professor
Peter T. Francis,Peter,Francis,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Geoffrey Campbell Frank,Geoffrey,Frank,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Ricki Frankel,Ricki,Frankel,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Doug J. Galen,Doug,Galen,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Jonathan Garfinkel,Jonathan,Garfinkel,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Michele J. Gelfand,Michele,Gelfand,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Matthew Glickman,Matthew,Glickman,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Amir Goldberg,Amir,Goldberg,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Samuel Goldberg,Samuel,Goldberg,"Assistant Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Assistant
Susan Wilner Golden,Susan,Golden,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Alison Goldsworthy,Alison,Goldsworthy,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Steven Grenadier,Steven,Grenadier,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
H. Irving Grousbeck,H.,Grousbeck,"Adjunct Professor Emeritus,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Emeritus
Deborah H. Gruenfeld,Deborah,Gruenfeld,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Douglas R. Guilbeault,Douglas,Guilbeault,"Assistant Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Assistant
Anneka Gupta,Anneka,Gupta,"Lecturer,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
Bill Guttentag,Bill,Guttentag,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Nir Halevy,Nir,Halevy,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Andrew B. Hall,Andrew,Hall,"Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Michael T. Hannan,Michael,Hannan,"Professor Emeritus,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Emeritus
Mike Harmon,Mike,Harmon,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
J. Michael Harrison,J.,Harrison,"Professor Emeritus,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Emeritus
Bård Harstad,Bård,Harstad,"Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Wesley R. Hartmann,Wesley,Hartmann,"Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Professor
Laura Hattendorf,Laura,Hattendorf,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Zhiguo He,Zhiguo,He,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Chip Heath,Chip,Heath,"Professor Emeritus,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Emeritus
Benjamin Hébert,Benjamin,Hébert,"Associate Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Associate
Keith Hennessey,Keith,Hennessey,"Lecturer,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
Dannie Herzberg,Dannie,Herzberg,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Samuel Blake Hinkie,Samuel,Hinkie,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Charles A. Holloway,Charles,Holloway,"Professor Emeritus,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Emeritus
Terrell Holmes,Terrell,Holmes,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Caroline Hoxby,Caroline,Hoxby,"Professor (by courtesy),Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Yue Hu,Yue,Hu,"Assistant Professor,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Assistant
Szu-chi Huang,Szu-chi,Huang,"Associate Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Associate
Charles Edward Hudson,Charles,Hudson,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Dan A. Iancu,Dan,Iancu,"Associate Professor,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Associate
Guido W. Imbens,Guido,Imbens,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Shawon Jackson,Shawon,Jackson,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Brian Jacobs,Brian,Jacobs,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Sujay Jaswa,Sujay,Jaswa,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Saumitra Jha,Saumitra,Jha,"Associate Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Associate
Charles I. Jones,Charles,Jones,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Brett Jordan,Brett,Jordan,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Raj Joshi,Raj,Joshi,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Robert L. Joss,Robert,Joss,"Professor and Dean Emeritus,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Emeritus
Ömer Karaduman,Ömer,Karaduman,"Assistant Professor,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Assistant
Efrat Kasznik,Efrat,Kasznik,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Ron Kasznik,Ron,Kasznik,"Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Professor
David A. Kaval,David,Kaval,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Hugh Keelan,Hugh,Keelan,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Amanda Kelly,Amanda,Kelly,"Lecturer,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
Peter B. Kelly,Peter,Kelly,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
John D. Kepler,John,Kepler,"Associate Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Associate
Adam Keppler,Adam,Keppler,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Jess Kessin,Jess,Kessin,"Lecturer,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Lecturer
Daniel P. Kessler,Daniel,Kessler,"Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Jinhwan Kim,Jinhwan,Kim,"Associate Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Associate
Woojin Kim,Woojin,Kim,"Assistant Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Assistant
Yewon Kim,Yewon,Kim,"Assistant Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Assistant
Dan M. Klein,Dan,Klein,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Allison D. Kluger,Allison,Kluger,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Rachel Konrad,Rachel,Konrad,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Naz Koont,Naz,Koont,"Assistant Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Assistant
Michal Kosinski,Michal,Kosinski,"Associate Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Associate
Roderick M. Kramer,Roderick,Kramer,"Professor Emeritus,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Emeritus
Glenn Kramon,Glenn,Kramon,"Lecturer,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Lecturer
Keith Krehbiel,Keith,Krehbiel,"Professor Emeritus,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
David M. Kreps,David,Kreps,"Professor Emeritus,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
Arvind Krishnamurthy,Arvind,Krishnamurthy,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Scott Kupor,Scott,Kupor,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Ling Lam,Ling,Lam,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
David F. Larcker,David,Larcker,"Professor Emeritus,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Emeritus
James M. Lattin,James,Lattin,"Professor Emeritus,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Emeritus
Margaret Laws,Margaret,Laws,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Charles M. C. Lee,Charles,Lee,"Professor Emeritus,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Emeritus
Gloria Chie Lee,Gloria,Lee,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Hau L. Lee,Hau,Lee,"Professor Emeritus,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Emeritus
Lihua Lei,Lihua,Lei,"Assistant Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Assistant
Josh Leslie,Josh,Leslie,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Rebecca Lester,Rebecca,Lester,"Associate Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Associate
Jonathan Levav,Jonathan,Levav,"Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Professor
Jonathan Levin,Jonathan,Levin,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Fei-Fei Li,Fei-Fei,Li,"Professor (by courtesy),Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Professor
Emily Maddox Liggett,Emily,Liggett,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
John O. Lilly,John,Lilly,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Leo Edward Linbeck,Leo,Linbeck,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Bob Lisbonne,Bob,Lisbonne,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Brian S. Lowery,Brian,Lowery,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Annamaria Lusardi,Annamaria,Lusardi,"Professor (by courtesy),Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Hanno Lustig,Hanno,Lustig,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Matteo Maggiori,Matteo,Maggiori,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Christopher Mahowald,Christopher,Mahowald,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Kevin Mak,Kevin,Mak,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Neil Malhotra,Neil,Malhotra,"Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Jules Maltz,Jules,Maltz,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Fern Mandelbaum,Fern,Mandelbaum,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Paraag V. Marathe,Paraag,Marathe,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Iván Marinovic,Iván,Marinovic,"Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Professor
Ana Marshall,Ana,Marshall,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Ashley Martin,Ashley,Martin,"Associate Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Associate
Gregory J. Martin,Gregory,Martin,"Associate Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Associate
Joanne Martin,Joanne,Martin,"Professor Emerita,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Emeritus
Karen McClellan,Karen,McClellan,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Daniel A. McFarland,Daniel,McFarland,"Professor (by courtesy),Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Kelly M. McGonigal,Kelly,McGonigal,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Scotty McLennan,Scotty,McLennan,"Lecturer,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
H.R. McMaster,H.R.,McMaster,"Lecturer,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
Maureen McNichols,Maureen,McNichols,"Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Professor
David Melnikoff,David,Melnikoff,"Assistant Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Assistant
Haim Mendelson,Haim,Mendelson,"Professor,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Professor
Paul R. Milgrom,Paul,Milgrom,"Professor (by courtesy),Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Dale T. Miller,Dale,Miller,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
James Miller,James,Miller,"Professor Emeritus,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Emeritus
James Milligan,James,Milligan,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Helena Miton,Helena,Miton,"Assistant Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Assistant
Benoît Monin,Benoît,Monin,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
David Bruce Montgomery (1938–2025),David,(1938–2025),"Professor Emeritus,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Emeritus
Lisa A. Monzón,Lisa,Monzón,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Laura Moon,Laura,Moon,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Charles Moore,Charles,Moore,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Kirsten Moss,Kirsten,Moss,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Henry Most,Henry,Most,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Jennifer Mulloy,Jennifer,Mulloy,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Claudia Fan Munce,Claudia,Munce,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Fabian Nagel,Fabian,Nagel,"Assistant Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Assistant
Patricia Nakache,Patricia,Nakache,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Sridhar Narayanan,Sridhar,Narayanan,"Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Professor
Raymond Nasr,Raymond,Nasr,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Margaret Ann Neale,Margaret,Neale,"Professor Emerita,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Emeritus
Suzie Noh,Suzie,Noh,"Assistant Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Assistant
George Osborne,George,Osborne,"Lecturer,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
Michael Ostrovsky,Michael,Ostrovsky,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Paul Oyer,Paul,Oyer,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
George G.C. Parker,George,Parker,"Professor Emeritus,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Emeritus
James D. Paron,James,Paron,"Assistant Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Assistant
James M. Patell,James,Patell,"Professor Emeritus,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Emeritus
Robert M. Pearl,Robert,Pearl,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Charles A. O’Reilly,Charles,O’Reilly,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Monisha Perkash,Monisha,Perkash,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
